index,producer->batch_size,producer->linger_ms,producer->compression_type,producer->topics,consumer->fetch_wait_max_ms
957,257844,18,None,9,113
958,134708,85,snappy,8,74
959,48117,45,lz4,10,177
960,149449,23,None,6,71
961,98713,34,None,5,11
962,204506,62,lz4,7,168
963,162994,57,None,5,336
964,226213,9,lz4,9,423
965,186140,77,lz4,1,214
966,105226,97,None,1,454
967,226024,41,snappy,7,172
968,208481,93,None,4,177
969,191319,19,lz4,7,372
970,122003,75,snappy,10,157
971,87758,80,lz4,1,291
972,161638,35,lz4,2,439
973,227402,43,gzip,3,166
974,174981,2,gzip,3,268
975,124984,11,None,10,413
976,188447,42,gzip,6,442
977,239259,52,lz4,10,458
978,208427,49,snappy,7,377
979,87361,51,gzip,2,357
980,116832,99,snappy,5,294
981,193720,68,gzip,2,3
982,186198,26,snappy,10,274
983,29591,5,lz4,7,237
984,248457,69,snappy,7,325
985,28652,38,None,9,59
986,146640,81,gzip,8,256
987,152552,64,None,8,481
988,88928,45,None,6,261
989,2009,94,snappy,5,494
990,243586,25,snappy,5,466
991,187438,37,None,6,303
992,233194,41,None,2,184
993,116186,94,None,4,385
994,10627,72,gzip,7,467
995,87951,11,None,6,468
996,59398,90,None,2,180
997,234884,79,None,9,199
998,121869,70,gzip,4,384
999,130020,49,lz4,7,339
1000,212218,56,lz4,6,356
1001,178996,27,gzip,10,391
1002,46752,42,lz4,4,259
1003,83256,36,snappy,1,44
1004,212082,32,gzip,4,42
1005,169270,73,lz4,6,167
1006,126130,63,lz4,4,471
1007,126781,90,snappy,8,80
1008,258365,80,lz4,1,66
1009,175700,42,gzip,7,13
1010,95718,21,None,3,215
1011,26260,7,lz4,3,108
1012,142146,83,snappy,10,405
1013,27428,92,snappy,7,156
1014,453,71,None,2,47
1015,255224,86,None,7,295
1016,138589,4,snappy,7,381
1017,149836,66,None,4,86
1018,217651,49,lz4,4,469
1019,18055,19,None,6,28
1020,252950,60,gzip,8,362
1021,98312,50,None,8,313
1022,245771,49,gzip,6,428
1023,30017,7,gzip,6,459
1024,96211,35,lz4,6,49
1025,99703,73,None,1,431
1026,229252,57,gzip,3,331
1027,12613,13,lz4,9,466
1028,227160,98,lz4,4,31
1029,142205,42,lz4,5,70
1030,46381,78,lz4,9,23
1031,93158,24,gzip,2,323
1032,36958,25,snappy,1,68
1033,155555,10,snappy,10,114
1034,108645,69,gzip,1,110
1035,187653,71,None,4,491
1036,23795,15,None,7,10
1037,256283,42,lz4,9,15
1038,76175,22,snappy,6,400
1039,227661,55,snappy,3,33
1040,73607,17,lz4,5,242
1041,215442,18,None,5,233
1042,92247,90,gzip,9,207
1043,43050,71,lz4,3,431
1044,242935,53,gzip,8,344
1045,57469,100,gzip,6,34
1046,211564,4,None,6,280
1047,43864,16,snappy,6,354
1048,44480,78,gzip,9,164
1049,116709,63,None,2,400
1050,259334,40,snappy,3,275
1051,240586,4,gzip,8,130
1052,20500,22,lz4,1,318
1053,46792,100,gzip,4,213
1054,161076,29,lz4,8,220
1055,118951,66,gzip,7,28
1056,67550,22,lz4,8,209
1057,256557,37,lz4,10,278
1058,35057,49,snappy,3,366
1059,205964,1,None,9,156
1060,39423,1,lz4,10,23
1061,259604,40,lz4,2,464
1062,165690,18,None,6,106
1063,125679,86,None,3,490
1064,193026,69,None,2,23
1065,20785,79,snappy,8,93
1066,28837,71,snappy,1,500
1067,223316,12,snappy,6,40
1068,74122,11,snappy,9,459
1069,242167,63,gzip,4,461
1070,163496,15,snappy,9,335
1071,172495,28,gzip,6,180
1072,58911,73,gzip,8,233
1073,41206,2,None,7,177
1074,64062,27,snappy,3,117
1075,28943,27,gzip,1,14
1076,211808,98,gzip,9,321
1077,83630,42,gzip,7,278
1078,68673,81,None,5,224
1079,148724,91,gzip,2,220
1080,87030,75,lz4,4,119
1081,22948,99,snappy,10,75
1082,81518,66,None,8,302
1083,35639,25,gzip,4,12
1084,170662,31,snappy,2,304
1085,66274,37,gzip,8,444
1086,21984,5,snappy,10,286
1087,64395,97,snappy,6,206
1088,243956,11,gzip,10,197
1089,131536,98,lz4,2,159
1090,38941,99,gzip,5,198
1091,143115,1,lz4,3,423
1092,248614,87,gzip,4,216
1093,103696,13,snappy,1,2
1094,80595,66,None,7,363
1095,78987,74,lz4,3,124
1096,137822,40,gzip,4,299
1097,151613,85,snappy,2,123
1098,42253,62,lz4,6,374
1099,34379,66,lz4,3,228
1100,71605,3,gzip,1,71
1101,87235,8,gzip,7,137
1102,129859,20,None,1,411
1103,251721,72,None,2,468
1104,109787,5,snappy,3,252
1105,140,51,None,8,166
1106,254687,62,lz4,6,318
1107,107925,39,gzip,8,150
1108,168706,72,gzip,8,500
1109,36150,58,None,8,216
1110,218374,29,lz4,5,201
1111,70782,87,None,5,130
1112,144063,99,None,3,395
1113,171882,16,snappy,5,193
1114,123402,33,lz4,6,195
1115,119010,33,None,10,56
1116,95086,28,None,6,5
1117,216561,11,gzip,9,264
1118,60990,62,snappy,8,171
1119,55517,23,snappy,8,409
1120,204329,24,lz4,2,484
1121,165847,38,snappy,8,244
1122,115243,15,gzip,3,477
1123,245074,72,None,9,125
1124,259838,15,lz4,9,298
1125,46499,56,None,2,177
1126,51764,92,snappy,8,219
1127,182985,38,snappy,9,209
1128,172053,98,None,2,148
1129,40198,2,None,4,273
1130,136757,95,snappy,8,406
1131,71222,97,None,4,225
1132,198939,29,gzip,3,27
1133,23053,4,snappy,1,406
1134,11295,27,gzip,3,239
1135,100011,91,snappy,9,282
1136,103372,9,lz4,7,106
1137,248364,23,gzip,10,427
1138,15521,38,gzip,10,141
1139,90667,80,lz4,5,301
1140,205039,92,snappy,10,105
1141,161379,16,lz4,2,266
1142,15308,95,snappy,7,481
1143,86280,22,gzip,1,20
1144,164148,15,lz4,2,468
1145,251882,77,None,3,119
1146,105001,54,gzip,7,77
1147,114141,13,snappy,2,110
1148,62962,73,None,7,248
1149,109345,64,lz4,8,130
1150,257548,15,snappy,3,373
1151,215231,1,snappy,7,483
1152,247119,91,None,2,243
1153,53312,71,snappy,1,322
1154,147189,97,gzip,4,289
1155,7915,34,gzip,6,122
1156,72750,77,snappy,10,170
1157,60034,84,lz4,8,394
1158,45533,5,snappy,10,102
1159,55664,41,gzip,4,289
1160,159979,92,None,8,221
1161,112954,90,snappy,5,382
1162,23476,23,None,2,150
1163,188925,39,None,10,72
1164,41242,82,gzip,9,482
1165,246458,22,snappy,1,42
1166,178894,47,None,9,153
1167,21777,5,snappy,9,149
1168,52375,52,lz4,7,179
1169,238348,68,gzip,5,38
1170,207387,72,gzip,8,259
1171,240738,86,snappy,3,298
1172,204588,70,lz4,6,381
1173,17038,8,snappy,5,333
1174,180175,22,gzip,7,128
1175,209609,77,gzip,4,134
1176,230775,40,lz4,10,169
1177,76540,9,None,3,266
1178,226366,66,lz4,1,133
1179,107654,19,None,1,127
1180,254446,20,None,3,375
1181,160562,11,lz4,5,492
1182,48735,95,snappy,7,375
1183,146798,80,lz4,3,63
1184,52251,95,gzip,7,93
1185,136648,18,gzip,7,108
1186,65613,60,gzip,9,421
1187,182259,84,snappy,6,33
1188,88339,61,gzip,5,3
1189,84993,79,gzip,1,382
1190,167064,64,gzip,4,2
1191,107829,80,None,8,484
1192,11348,34,gzip,8,364
1193,50600,96,None,7,140
1194,111322,7,lz4,4,174
1195,173713,68,snappy,4,211
1196,116945,43,lz4,6,431
1197,2628,25,gzip,7,388
1198,211982,49,None,6,105
1199,178082,29,None,8,65
1200,111183,27,snappy,4,241
1201,240086,54,gzip,7,293
1202,257440,89,lz4,1,108
1203,114910,22,None,5,340
1204,172417,24,None,7,140
1205,136210,63,lz4,6,254
1206,170141,20,lz4,4,498
1207,86078,63,lz4,1,158
1208,73651,29,gzip,2,336
1209,159026,96,snappy,8,122
1210,23357,92,None,9,204
1211,79556,94,snappy,5,486
1212,30881,15,lz4,4,143
1213,201346,37,snappy,2,400
1214,58319,57,snappy,9,66
1215,150760,46,snappy,10,365
1216,224092,38,None,5,69
1217,15481,57,None,8,134
1218,123570,77,lz4,10,206
1219,152732,73,gzip,7,369
1220,218796,14,lz4,3,186
1221,118080,97,None,7,328
1222,259401,44,None,9,264
1223,95823,48,None,5,24
1224,106508,2,None,6,500
1225,203454,100,snappy,6,372
1226,70281,51,gzip,3,306
1227,33865,35,None,2,288
1228,225285,56,snappy,2,388
1229,143689,79,snappy,7,49
1230,135789,18,None,9,350
1231,52399,63,snappy,2,462
1232,4071,53,snappy,2,396
1233,55603,29,None,4,242
1234,84597,1,None,3,3
1235,93174,22,None,7,496
1236,151784,37,None,10,397
1237,224211,73,gzip,7,33
1238,45302,35,gzip,9,265
1239,191247,49,None,1,245
1240,235443,36,gzip,3,39
1241,36566,26,snappy,5,199
1242,49393,36,gzip,7,291
1243,64915,56,gzip,8,78
1244,248216,74,None,4,115
1245,212913,24,snappy,10,133
1246,65268,4,gzip,2,199
1247,261480,16,None,6,212
1248,195556,7,lz4,6,494
1249,223019,23,lz4,3,275
1250,37235,67,snappy,9,131
1251,234720,10,lz4,10,276
1252,240988,22,gzip,3,385
1253,21237,73,snappy,3,265
1254,4482,32,snappy,9,55
1255,112712,55,snappy,4,45
1256,233481,21,None,6,149
1257,113670,79,gzip,5,392
1258,69859,44,gzip,6,14
1259,185336,38,snappy,2,188
1260,76936,96,lz4,9,58
1261,253634,74,gzip,2,409
1262,61283,78,snappy,1,230
1263,145220,87,snappy,3,315
1264,43448,53,gzip,4,428
1265,157988,35,None,2,404
1266,28480,65,gzip,7,279
1267,41081,29,None,4,139
1268,37310,26,None,7,302
1269,52214,32,None,8,384
1270,13431,72,None,10,136
1271,30131,21,snappy,10,297
1272,157561,76,lz4,2,98
1273,240611,85,gzip,1,71
1274,28751,61,snappy,1,205
1275,191011,41,lz4,4,265
1276,73376,36,lz4,5,212
1277,211632,70,gzip,6,325
1278,88851,36,lz4,8,138
1279,193107,47,None,5,27
1280,81617,26,gzip,8,61
1281,231788,48,None,7,322
1282,24694,94,lz4,9,342
1283,203586,17,snappy,6,408
1284,225417,35,snappy,3,127
1285,220194,75,gzip,5,343
1286,258538,83,gzip,2,101
1287,196843,52,lz4,5,265
1288,126366,30,lz4,7,280
1289,38712,63,None,10,52
1290,88092,19,lz4,4,280
1291,241910,66,None,10,46
1292,71951,78,lz4,9,165
1293,197981,4,snappy,3,29
1294,29771,47,gzip,4,356
1295,50841,38,gzip,4,97
1296,47484,88,None,6,223
1297,120395,38,snappy,2,289
1298,12338,47,gzip,8,471
1299,119325,54,lz4,7,366
1300,230574,15,gzip,3,140
1301,159394,94,snappy,6,184
1302,51540,45,gzip,8,4
1303,95466,68,gzip,1,464
1304,44315,71,snappy,10,70
1305,55214,56,gzip,8,161
1306,205587,98,None,7,79
1307,201789,53,gzip,6,154
1308,181700,9,None,5,209
1309,161439,68,None,5,203
1310,148879,28,lz4,2,277
1311,78576,95,lz4,7,52
1312,137086,23,lz4,1,187
1313,161282,77,None,7,24
1314,8157,83,None,7,128
1315,29316,3,gzip,6,130
1316,43299,7,None,8,66
1317,13640,60,snappy,4,472
1318,219461,65,snappy,4,314
1319,213213,38,gzip,2,221
1320,179374,6,lz4,6,234
1321,64278,17,snappy,6,257
1322,165798,32,None,8,491
1323,85139,28,snappy,1,45
1324,137186,88,None,6,374
1325,66836,93,None,2,85
1326,55106,5,snappy,3,483
1327,5637,22,gzip,10,364
1328,217788,39,lz4,1,392
1329,104116,56,snappy,4,238
1330,163432,12,None,2,199
1331,118760,18,None,6,158
1332,68997,26,snappy,10,426
1333,220974,29,snappy,1,67
1334,111753,47,snappy,8,414
1335,152068,26,None,8,488
1336,186235,76,gzip,5,379
1337,101942,58,snappy,9,189
1338,98669,10,lz4,10,418
1339,105082,47,lz4,4,13
1340,26920,61,gzip,8,457
1341,208201,100,snappy,4,106
1342,66040,47,snappy,2,495
1343,89537,36,lz4,3,44
1344,89893,40,gzip,10,181
1345,207847,21,lz4,1,365
1346,122237,53,snappy,9,320
1347,22242,74,gzip,4,317
1348,21103,43,lz4,5,377
1349,116478,39,None,10,496
1350,245686,89,gzip,4,152
1351,221295,94,None,5,363
1352,116659,78,snappy,5,299
1353,216853,79,snappy,7,128
1354,157410,95,gzip,3,106
1355,62280,26,lz4,10,17
1356,213355,12,lz4,6,322
1357,255097,2,snappy,10,312
1358,85239,49,None,1,298
1359,220534,10,None,5,15
1360,198775,26,snappy,5,324
1361,232426,21,snappy,5,490
1362,161831,37,None,1,445
1363,58414,97,gzip,7,281
1364,33360,97,lz4,10,433
1365,183750,26,snappy,3,200
1366,140419,49,snappy,3,212
1367,258585,18,lz4,4,401
1368,14092,65,None,3,404
1369,255328,4,None,2,397
1370,44975,67,None,9,184
1371,53869,80,lz4,6,228
1372,14189,54,gzip,10,315
1373,171269,68,lz4,1,254
1374,103193,86,lz4,2,328
1375,62213,53,lz4,5,453
1376,202465,70,snappy,5,147
1377,171634,87,gzip,5,386
1378,107607,20,gzip,7,355
1379,123298,27,lz4,3,279
1380,61368,73,lz4,7,290
1381,79231,10,lz4,2,467
1382,211854,63,snappy,1,474
1383,212592,79,gzip,6,402
1384,75625,16,snappy,5,168
1385,35754,99,None,4,444
1386,41540,71,snappy,4,176
1387,79906,12,snappy,6,124
1388,39455,99,None,4,466
1389,172002,28,lz4,5,158
1390,28394,70,None,1,173
1391,140867,46,None,6,436
1392,227932,10,None,2,52
1393,147596,21,gzip,9,293
1394,190842,13,None,5,303
1395,239212,65,gzip,9,327
1396,233836,17,snappy,3,469
1397,116361,19,snappy,1,404
1398,141474,67,snappy,9,142
1399,153173,84,lz4,9,412
1400,200619,14,lz4,3,308
1401,53690,41,None,3,92
1402,48916,20,None,2,69
1403,83101,66,lz4,3,321
1404,113056,80,None,4,460
1405,68851,49,gzip,6,309
1406,249550,66,gzip,9,227
1407,56933,89,gzip,5,7
1408,193349,27,None,9,319
1409,175545,16,gzip,7,249
1410,69725,76,lz4,8,249
1411,6438,5,lz4,1,233
1412,63049,31,lz4,4,434
1413,213776,57,lz4,3,344
1414,170491,43,lz4,9,310
1415,51814,22,snappy,4,489
1416,158992,24,None,2,22
1417,221961,36,None,7,436
1418,114311,89,lz4,4,437
1419,39863,81,gzip,7,286
1420,68729,72,gzip,8,399
1421,201482,50,snappy,9,9
1422,120597,14,None,2,43
1423,26669,81,None,1,254
1424,70891,50,lz4,4,253
1425,76456,32,gzip,10,461
1426,185241,42,lz4,6,406
1427,211341,91,lz4,10,488
1428,173356,84,snappy,1,235
1429,8323,96,lz4,10,493
1430,80874,95,lz4,3,383
1431,245821,19,lz4,3,59
1432,76820,56,gzip,6,429
1433,143475,74,snappy,9,178
1434,216697,45,snappy,9,10
1435,227713,22,None,3,423
1436,23683,73,lz4,9,370
1437,46165,79,snappy,3,324
1438,222910,58,None,2,285
1439,256948,20,lz4,1,443
1440,116795,32,snappy,7,419
1441,88023,98,snappy,5,113
1442,166070,13,lz4,6,28
1443,189187,67,gzip,6,200
1444,51911,70,lz4,3,86
1445,190023,25,gzip,5,85
1446,150797,95,None,2,187
1447,179230,6,snappy,5,376
1448,64092,18,gzip,10,397
1449,163847,76,gzip,9,351
1450,66161,65,snappy,10,449
1451,219387,92,None,7,247
1452,225030,60,snappy,10,173
1453,258268,79,gzip,5,227
1454,222279,19,None,1,382
1455,1550,30,snappy,5,455
1456,238970,42,snappy,2,465
1457,150637,69,lz4,8,270
1458,56589,12,gzip,8,276
1459,203268,61,snappy,8,34
1460,117279,70,None,9,361
1461,7820,12,None,7,378
1462,127321,60,None,7,332
1463,74661,10,lz4,8,35
1464,176925,90,lz4,2,118
1465,86355,46,gzip,4,218
1466,129556,12,snappy,10,188
1467,154985,16,gzip,4,438
1468,44879,30,snappy,4,280
1469,210031,97,snappy,4,284
1470,68748,76,None,3,161
1471,126037,92,lz4,5,126
1472,102545,83,snappy,1,47
1473,151369,7,gzip,5,495
1474,84322,51,snappy,6,278
1475,47218,67,gzip,5,3
1476,170827,79,snappy,2,129
1477,101176,100,snappy,6,142
1478,244139,8,gzip,2,16
1479,174742,89,lz4,8,356
1480,85184,95,None,8,177
1481,258401,90,lz4,10,40
1482,184879,19,lz4,7,386
1483,53571,23,lz4,6,22
1484,194788,10,snappy,3,333
1485,26192,28,lz4,4,356
1486,127413,27,gzip,4,208
1487,124128,57,gzip,3,378
1488,149226,42,snappy,5,168
1489,259199,52,None,5,444
1490,83285,31,gzip,9,424
1491,48977,39,lz4,9,410
1492,169958,49,lz4,1,16
1493,194115,68,None,6,25
1494,127611,81,snappy,4,331
1495,179802,54,None,7,25
1496,67305,26,None,10,125
1497,235760,84,None,8,431
1498,3371,45,snappy,8,37
1499,145150,48,None,10,113
1500,68267,68,lz4,9,324
1501,125797,88,None,2,423
1502,215203,71,None,6,60
1503,179933,67,None,8,86
1504,221067,22,snappy,1,361
1505,200289,42,snappy,6,99
1506,55916,78,None,8,388
1507,100883,17,gzip,3,252
1508,11179,12,gzip,6,297
1509,238765,38,gzip,5,102
1510,74936,64,None,1,463
1511,236596,45,None,1,371
1512,247305,8,snappy,7,83
1513,140000,94,snappy,8,225
1514,47109,30,None,10,395
1515,180414,45,None,5,301
1516,97513,88,None,3,214
1517,61814,39,gzip,1,227
1518,64549,18,snappy,4,185
1519,51069,63,gzip,5,282
1520,97229,36,snappy,8,104
1521,112049,42,gzip,2,32
1522,26368,88,gzip,4,130
1523,74418,17,None,5,359
1524,54793,8,None,6,360
1525,30932,45,lz4,4,211
1526,128262,50,lz4,9,158
1527,161271,73,snappy,10,295
1528,26087,15,lz4,10,89
1529,72956,75,snappy,7,154
1530,150868,82,gzip,2,422
1531,262125,43,snappy,3,390
1532,34877,65,gzip,6,175
1533,186341,55,gzip,7,1
1534,219886,59,lz4,10,47
1535,170012,8,snappy,6,410
1536,217284,68,snappy,9,316
1537,31145,97,lz4,10,204
1538,251124,82,gzip,9,250
1539,168889,67,lz4,9,283
1540,30483,59,snappy,5,137
1541,118575,20,snappy,7,137
1542,81444,3,snappy,6,24
1543,59939,45,gzip,1,139
1544,67880,96,None,9,136
1545,188693,77,gzip,7,412
1546,229506,53,lz4,8,24
1547,68544,59,lz4,9,91
1548,114641,30,snappy,10,238
1549,139586,59,gzip,8,257
1550,251491,79,snappy,2,176
1551,238518,47,None,1,481
1552,237982,28,gzip,6,61
1553,99080,15,snappy,8,416
1554,194149,90,snappy,6,119
1555,231500,57,lz4,10,97
1556,92566,21,lz4,3,129
1557,125106,68,gzip,3,160
1558,135263,1,lz4,1,313
1559,197214,79,gzip,3,288
1560,166296,100,None,1,194
1561,173767,74,lz4,10,18
1562,102283,30,lz4,3,174
1563,56841,75,snappy,3,258
1564,116532,70,snappy,9,123
1565,172772,15,lz4,7,227
1566,44284,20,snappy,3,397
1567,82471,21,snappy,5,253
1568,213117,51,lz4,10,237
1569,209904,69,snappy,6,2
1570,249027,92,lz4,10,374
1571,201040,69,gzip,1,44
1572,213399,51,None,2,20
1573,140390,55,lz4,7,441
1574,181751,63,lz4,9,140
1575,140212,53,None,7,187
1576,247515,100,lz4,3,195
1577,102044,8,None,2,439
1578,96939,63,lz4,8,41
1579,67189,46,lz4,2,26
1580,35122,35,snappy,3,85
1581,128424,10,lz4,9,257
1582,173880,93,gzip,9,67
1583,22316,45,None,10,478
1584,115147,48,lz4,4,177
1585,148991,51,lz4,9,286
1586,34612,43,None,5,177
1587,772,38,gzip,5,414
1588,119097,24,gzip,2,361
1589,30278,63,gzip,5,389
1590,182317,52,None,2,300
1591,42288,19,snappy,4,442
1592,187899,99,snappy,1,416
1593,92536,93,snappy,6,169
1594,5544,66,snappy,6,217
1595,23203,29,snappy,4,468
1596,251294,45,None,4,175
1597,41514,11,gzip,10,211
1598,23576,92,gzip,5,219
1599,159458,87,snappy,2,143
1600,261421,44,snappy,10,194
1601,164989,27,snappy,10,264
1602,18211,66,gzip,8,201
1603,19465,51,None,8,271
1604,261399,94,lz4,5,320
1605,24119,41,gzip,8,298
1606,206207,59,None,9,165
1607,7265,74,snappy,3,400
1608,105374,34,snappy,6,211
1609,52305,32,lz4,4,266
1610,212940,54,gzip,9,144
1611,174804,21,gzip,8,164
1612,118279,55,gzip,1,132
1613,156455,57,gzip,2,329
1614,190294,38,None,10,348
1615,224635,23,gzip,10,348
1616,232188,1,snappy,9,63
1617,248140,16,snappy,5,394
1618,119570,74,snappy,1,198
1619,86148,37,None,10,395
1620,90388,88,snappy,1,221
1621,237383,54,gzip,1,452
1622,49776,51,gzip,9,188
1623,97736,5,gzip,9,93
1624,196231,97,None,1,380
1625,59677,39,lz4,8,99
1626,191535,78,None,6,292
1627,80243,93,None,3,17
1628,113538,65,lz4,5,162
1629,165748,83,snappy,6,118
1630,94807,26,snappy,7,421
1631,152100,40,lz4,5,372
1632,193360,40,gzip,9,392
1633,61698,85,None,1,429
1634,53998,29,gzip,4,484
1635,61757,1,lz4,1,144
1636,247866,6,None,1,319
1637,211676,83,gzip,6,485
1638,83347,59,None,8,455
1639,38839,22,snappy,6,450
1640,153000,5,gzip,2,322
1641,246899,91,None,5,101
1642,15100,34,lz4,8,103
1643,259508,73,None,1,46
1644,123733,1,gzip,5,118
1645,34330,62,lz4,3,407
1646,152386,17,gzip,5,66
1647,192952,8,snappy,9,416
1648,74812,15,None,10,68
1649,148175,7,None,6,370
1650,136238,27,None,9,411
1651,149649,26,lz4,6,325
1652,200844,69,lz4,6,345
1653,50011,12,None,3,215
1654,149213,36,lz4,5,321
1655,205157,65,snappy,1,35
1656,215820,48,gzip,1,191
1657,72221,75,gzip,5,326
1658,179092,42,gzip,5,249
1659,246959,2,gzip,5,449
1660,101817,96,None,7,353
1661,84081,51,gzip,7,358
1662,190392,22,None,7,16
1663,113157,18,snappy,6,469
1664,196909,48,gzip,10,13
1665,107852,27,snappy,10,491
1666,5711,59,snappy,6,368
1667,93299,51,None,6,320
1668,210161,98,gzip,7,56
1669,201238,100,gzip,4,109
1670,48639,69,lz4,2,371
1671,55193,29,gzip,8,228
1672,186541,64,None,6,408
1673,125739,69,gzip,5,188
1674,199132,34,lz4,7,375
1675,16808,19,gzip,3,383
1676,243791,34,gzip,9,203
1677,261582,88,lz4,4,364
1678,242212,71,lz4,6,344
1679,100724,66,gzip,3,251
1680,154004,26,snappy,10,120
1681,239742,8,lz4,9,377
1682,247766,71,lz4,4,347
1683,223092,66,lz4,7,212
1684,146547,90,lz4,2,28
1685,8516,89,None,7,155
1686,206415,6,lz4,2,276
1687,46623,64,snappy,1,77
1688,151976,54,lz4,9,233
1689,86879,78,lz4,9,273
1690,100625,92,None,1,158
1691,124703,21,lz4,5,329
1692,79110,100,gzip,2,281
1693,216044,94,lz4,5,20
1694,72783,39,snappy,7,393
1695,101631,34,None,4,194
1696,180988,9,lz4,3,198
1697,209414,63,gzip,2,289
1698,58668,87,lz4,4,319
1699,80440,48,snappy,2,103
1700,39786,64,lz4,5,261
1701,244821,60,None,2,288
1702,36211,78,snappy,6,171
1703,133353,74,None,6,149
1704,181330,99,gzip,5,346
1705,123439,98,None,5,101
1706,109861,33,snappy,3,35
1707,210627,57,lz4,4,307
1708,11985,24,gzip,9,263
1709,97708,16,lz4,7,457
1710,206956,2,lz4,6,227
1711,132218,48,lz4,5,142
1712,13686,82,lz4,5,62
1713,106904,25,gzip,8,311
1714,70487,6,snappy,8,499
1715,233712,64,None,9,462
1716,112161,98,None,1,153
1717,245312,76,snappy,5,243
1718,90607,37,None,3,56
1719,218976,39,None,10,76
1720,105888,13,gzip,4,420
1721,129472,77,gzip,6,167
1722,96043,29,None,2,385
1723,133213,31,snappy,9,290
1724,31073,63,lz4,6,456
1725,224418,56,snappy,6,36
1726,25928,32,lz4,10,33
1727,20248,51,None,2,365
1728,112003,60,lz4,3,278
1729,254034,83,None,10,327
1730,238867,74,gzip,4,60
1731,158178,59,None,9,107
1732,192240,85,gzip,2,49
1733,149310,21,gzip,7,203
1734,203370,84,gzip,10,197
1735,225826,86,snappy,5,347
1736,80954,71,None,6,335
1737,156884,37,lz4,10,303
1738,98141,36,None,1,346
1739,35906,91,snappy,3,283
1740,19938,86,gzip,4,337
1741,88175,81,lz4,8,433
1742,109072,80,lz4,7,167
1743,203562,76,lz4,7,366
1744,145026,35,None,6,461
1745,98198,84,None,2,234
1746,7696,59,None,6,94
1747,241465,69,None,3,345
1748,188825,5,lz4,9,159
1749,119230,88,gzip,6,146
1750,106451,35,snappy,5,141
1751,203030,67,lz4,6,270
1752,77568,99,None,8,423
1753,60000,51,gzip,6,73
1754,235252,4,lz4,7,210
1755,175100,96,gzip,3,328
1756,204301,91,gzip,5,145
1757,146886,69,gzip,5,73
1758,129889,85,lz4,8,132
1759,198426,26,gzip,3,194
1760,19241,46,lz4,4,413
1761,159311,58,snappy,3,491
1762,9959,100,lz4,5,247
1763,156642,40,snappy,7,417
1764,178530,84,lz4,6,206
1765,40978,99,None,9,179
1766,255483,4,lz4,1,65
1767,138848,6,snappy,1,334
1768,23523,77,None,4,343
1769,197058,25,gzip,2,157
1770,185930,60,snappy,1,62
1771,177113,27,lz4,6,320
1772,168087,1,lz4,6,401
1773,43751,70,gzip,6,142
1774,22616,43,gzip,8,189
1775,102114,58,None,6,479
1776,190706,37,lz4,6,497
1777,25323,93,lz4,9,48
1778,141410,37,snappy,3,100
1779,60761,9,None,7,163
1780,217422,67,None,5,341
1781,40604,88,snappy,8,359
1782,162425,81,None,8,35
1783,111878,21,snappy,10,147
1784,127830,93,snappy,9,383
1785,45592,78,gzip,6,168
1786,160152,7,gzip,7,474
1787,204937,56,gzip,10,43
1788,225612,5,snappy,8,237
1789,106152,4,snappy,4,135
1790,203646,20,lz4,1,352
1791,154447,25,snappy,3,242
1792,201942,36,snappy,10,227
1793,40680,3,snappy,6,207
1794,172166,91,lz4,9,56
1795,138280,6,gzip,1,261
1796,83004,66,lz4,9,194
1797,151781,22,None,3,275
1798,205067,81,None,1,46
1799,214802,58,snappy,10,500
1800,13858,59,gzip,5,368
1801,47716,61,lz4,5,483
1802,10581,63,gzip,5,461
1803,51053,14,gzip,2,111
1804,164192,59,None,1,187
1805,234137,66,None,7,41
1806,55539,41,None,10,54
1807,184328,100,lz4,2,320
1808,249878,26,lz4,4,359
1809,119052,72,None,10,459
1810,160250,15,gzip,3,338
1811,159215,45,gzip,4,468
1812,151643,69,gzip,5,150
1813,218552,85,gzip,1,244
1814,241878,63,gzip,8,86
1815,12816,38,None,10,23
1816,84777,23,snappy,2,54
1817,188999,33,snappy,5,88
1818,140098,46,None,4,447
1819,37889,12,gzip,2,39
1820,14640,79,None,2,443
1821,63486,19,lz4,5,308
1822,154368,35,gzip,2,106
1823,115638,3,gzip,9,410
1824,59920,82,snappy,8,448
1825,126614,48,None,10,477
1826,164514,93,snappy,5,306
1827,157139,92,None,5,145
1828,190815,41,gzip,8,133
1829,236916,5,lz4,1,385
1830,23001,23,None,8,80
1831,86013,23,lz4,3,25
1832,232820,15,lz4,7,398
1833,63249,37,snappy,10,425
1834,231077,57,gzip,3,401
1835,127681,78,gzip,5,213
1836,91862,41,None,8,135
1837,226728,21,snappy,5,234
1838,156060,41,gzip,3,347
1839,197664,52,gzip,9,369
1840,188765,89,lz4,4,289
1841,244282,52,lz4,8,9
1842,205935,69,None,2,461
1843,106033,78,snappy,7,228
1844,258253,50,None,7,11
1845,70599,66,gzip,6,433
1846,204453,35,gzip,3,296
1847,80543,57,gzip,7,439
1848,171920,35,lz4,3,190
1849,16832,36,None,3,84
1850,15969,76,gzip,4,278
1851,81933,15,snappy,9,494
1852,210260,71,None,7,59
1853,162556,14,lz4,3,42
1854,88518,75,snappy,2,3
1855,233435,10,gzip,6,122
1856,84183,31,snappy,7,462
1857,148360,75,gzip,2,470
1858,262093,73,snappy,10,4
1859,223466,21,gzip,10,479
